         19021055 function calls (19019013 primitive calls) in 630.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24836    0.011    0.000    0.026    0.000 /home/wolverine/bin/running/pycaitlyn.py:6872(set_int)
     1297    0.018    0.000    0.026    0.000 /usr/lib/python3.10/asyncio/events.py:148(cancel)
    24836    0.009    0.000    0.025    0.000 /home/wolverine/bin/running/pycaitlyn.py:6863(copy)
    14763    0.018    0.000    0.023    0.000 /usr/lib/python3.10/asyncio/base_events.py:696(time)
    24860    0.013    0.000    0.023    0.000 /home/wolverine/bin/running/pycaitlyn.py:6875(get_int_64)
    24836    0.009    0.000    0.023    0.000 /home/wolverine/bin/running/pycaitlyn.py:1475(push_back)
   106440    0.022    0.000    0.022    0.000 {built-in method _pycaitlyn.StructValue_get_meta_id}
     1747    0.022    0.000    0.022    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
    24896    0.022    0.000    0.022    0.000 {built-in method _pycaitlyn.StructValue_swiginit}
    63351    0.022    0.000    0.022    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.021    0.021 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_char_codes.py:1(<module>)
       50    0.000    0.000    0.021    0.000 /usr/lib/python3.10/typing.py:407(__getitem__)
        1    0.000    0.000    0.020    0.020 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
     1157    0.007    0.000    0.020    0.000 /usr/lib/python3.10/selectors.py:181(get_key)
    24896    0.011    0.000    0.020    0.000 /home/wolverine/bin/running/pycaitlyn.py:6857(reset)
    17797    0.014    0.000    0.020    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:901(_find_read_pos)
    24836    0.009    0.000    0.019    0.000 /home/wolverine/bin/running/pycaitlyn.py:6845(set_market)
     1297    0.008    0.000    0.019    0.000 /usr/lib/python3.10/asyncio/events.py:103(__init__)
       60    0.000    0.000    0.019    0.000 /usr/lib/python3.10/typing.py:1040(__or__)
     7860    0.019    0.000    0.019    0.000 /usr/lib/python3.10/asyncio/tasks.py:581(__sleep0)
       50    0.007    0.000    0.018    0.000 /usr/lib/python3.10/typing.py:532(Literal)
    49684    0.018    0.000    0.018    0.000 /workspaces/money-engineering/TrinityStrategy/TrinityStrategy.py:555(ready_to_serialize)
     3718    0.010    0.000    0.018    0.000 /home/wolverine/bin/running/calculator3.py:313(load)
     5217    0.017    0.000    0.018    0.000 /usr/lib/python3.10/asyncio/base_events.py:427(create_future)
     1159    0.009    0.000    0.018    0.000 /home/wolverine/bin/running/calculatorp3.py:957(pack_binary_raw)
       89    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    74556    0.017    0.000    0.017    0.000 {built-in method _pycaitlyn.StructValue_get_granularity}
    24836    0.016    0.000    0.016    0.000 {built-in method _pycaitlyn.StructValue_copy}
     1038    0.016    0.000    0.016    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    24836    0.011    0.000    0.016    0.000 /home/wolverine/bin/running/pycaitlyn.py:6839(set_granularity)
      680    0.011    0.000    0.016    0.000 /usr/lib/python3.10/typing.py:1284(__hash__)
      578    0.003    0.000    0.016    0.000 /usr/lib/python3.10/selectors.py:352(register)
    24836    0.016    0.000    0.016    0.000 {built-in method _pycaitlyn.StructValue_set_meta_id}
    24836    0.010    0.000    0.016    0.000 /home/wolverine/bin/running/pycaitlyn.py:6833(set_time_tag)
    24836    0.016    0.000    0.016    0.000 {built-in method _pycaitlyn.StructValue_set_int_64}
     1038    0.003    0.000    0.015    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py:377(add_command)
14752/14743    0.006    0.000    0.015    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
      388    0.006    0.000    0.015    0.000 /home/wolverine/bin/running/calculator3.py:1458(_pack_binary_raw)
    24836    0.008    0.000    0.015    0.000 /home/wolverine/bin/running/pycaitlyn.py:6851(set_stock_code)
    24836    0.014    0.000    0.014    0.000 {built-in method _pycaitlyn.StructValue_set_int}
       91    0.000    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
       91    0.001    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:483(Union)
    24836    0.014    0.000    0.014    0.000 {built-in method _pycaitlyn.StructValueVector_push_back}
    81604    0.014    0.000    0.014    0.000 {built-in method _pycaitlyn.StructValue_get_namespace}
    24836    0.008    0.000    0.014    0.000 /home/wolverine/bin/running/pycaitlyn.py:6821(set_namespace)
     4929    0.011    0.000    0.013    0.000 {built-in method _heapq.heappush}
     1038    0.006    0.000    0.013    0.000 /usr/lib/python3.10/queue.py:122(put)
        1    0.000    0.000    0.012    0.012 /home/wolverine/bin/running/pycaitlyn.py:11667(set_compressor)
        1    0.012    0.012    0.012    0.012 {built-in method _pycaitlyn.TCDataCommunication_set_compressor}
      214    0.005    0.000    0.012    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
     1157    0.005    0.000    0.012    0.000 /usr/lib/python3.10/selectors.py:70(__getitem__)
       64    0.003    0.000    0.012    0.000 /home/wolverine/bin/running/calculatorp3.py:1275(keepalive_loop)
     1451    0.007    0.000    0.012    0.000 /usr/lib/python3.10/json/__init__.py:244(detect_encoding)
    36661    0.011    0.000    0.011    0.000 /usr/lib/python3.10/asyncio/base_events.py:1927(get_debug)
    14737    0.011    0.000    0.011    0.000 {method 'tobytes' of 'memoryview' objects}
      315    0.009    0.000    0.011    0.000 /home/wolverine/bin/running/calculator3.py:1937(_on_market_open)
     3920    0.005    0.000    0.011    0.000 /usr/lib/python3.10/asyncio/mixins.py:22(_get_loop)
      577    0.005    0.000    0.011    0.000 /usr/lib/python3.10/selectors.py:366(unregister)
    24860    0.011    0.000    0.011    0.000 {built-in method _pycaitlyn.StructValue_get_int_64}
    24836    0.010    0.000    0.010    0.000 {built-in method _pycaitlyn.StructValue_set_market}
     1156    0.007    0.000    0.010    0.000 /usr/lib/python3.10/asyncio/selector_events.py:234(_ensure_fd_no_transport)
    24896    0.010    0.000    0.010    0.000 {built-in method _pycaitlyn.new_StructValue}
     1038    0.003    0.000    0.010    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema.py:1032(to_dict)
     1816    0.008    0.000    0.010    0.000 /home/wolverine/bin/running/calculatorp3.py:885(__init__)
14752/14743    0.009    0.000    0.009    0.000 {built-in method _abc._abc_subclasscheck}
    91/87    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     7790    0.009    0.000    0.009    0.000 /home/wolverine/bin/running/calculator3.py:305(__init__)
     1502    0.007    0.000    0.009    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:651(writing)
    24896    0.009    0.000    0.009    0.000 {built-in method _pycaitlyn.StructValue_reset}
    47002    0.005    0.000    0.008    0.000 /home/wolverine/bin/running/pycaitlyn.py:6934(get_name)
    20761    0.008    0.000    0.008    0.000 /usr/lib/python3.10/asyncio/queues.py:96(empty)
      389    0.001    0.000    0.008    0.000 /home/wolverine/bin/running/pycaitlyn.py:11682(keys)
     1875    0.007    0.000    0.008    0.000 /usr/lib/python3.10/asyncio/events.py:64(cancel)
       90    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      662    0.000    0.000    0.008    0.000 /home/wolverine/bin/running/pycaitlyn.py:7052(get_fields)
     4510    0.008    0.000    0.008    0.000 {built-in method _struct.pack}
      662    0.008    0.000    0.008    0.000 {built-in method _pycaitlyn.IndexMeta_get_fields}
     2314    0.006    0.000    0.008    0.000 /usr/lib/python3.10/selectors.py:216(_fileobj_lookup)
     8071    0.008    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:1273(<genexpr>)
        3    0.000    0.000    0.008    0.003 /home/wolverine/bin/running/calculator3.py:633(recycle_loop)
      578    0.005    0.000    0.008    0.000 /usr/lib/python3.10/selectors.py:235(register)
       91    0.000    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:267(_remove_dups_flatten)
    17454    0.007    0.000    0.007    0.000 {built-in method builtins.min}
       92    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      389    0.007    0.000    0.007    0.000 {built-in method _pycaitlyn.TCDataCommunication_keys}
        1    0.000    0.000    0.007    0.007 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/multiarray.py:1(<module>)
      141    0.000    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:253(_deduplicate)
