         5414355 function calls (5412403 primitive calls) in 647.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42487    0.020    0.000    0.020    0.000 /usr/lib/python3.10/asyncio/base_events.py:513(_check_closed)
    15384    0.018    0.000    0.020    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:322(_consume_expired)
     3362    0.017    0.000    0.019    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:139(append)
     2846    0.013    0.000    0.019    0.000 /usr/lib/python3.10/json/__init__.py:244(detect_encoding)
     2203    0.013    0.000    0.018    0.000 /home/wolverine/bin/running/calculator3.py:1444(_binary_header)
       78    0.001    0.000    0.018    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1421(_handle_write)
     6634    0.011    0.000    0.018    0.000 /usr/lib/python3.10/asyncio/mixins.py:22(_get_loop)
        1    0.000    0.000    0.017    0.017 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_char_codes.py:1(<module>)
       50    0.000    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:407(__getitem__)
    16312    0.015    0.000    0.017    0.000 /usr/lib/python3.10/selectors.py:21(_fileobj_to_fd)
   186445    0.017    0.000    0.017    0.000 {built-in method _pycaitlyn.Field_get_name}
       90    0.000    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
    74396    0.017    0.000    0.017    0.000 {method 'popleft' of 'collections.deque' objects}
       90    0.001    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:483(Union)
     8301    0.017    0.000    0.017    0.000 {method 'format' of 'str' objects}
      680    0.010    0.000    0.016    0.000 /usr/lib/python3.10/typing.py:1284(__hash__)
    10562    0.016    0.000    0.016    0.000 /home/wolverine/bin/running/calculator3.py:305(__init__)
       15    0.000    0.000    0.015    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1358(_do_ssl_handshake)
     7691    0.009    0.000    0.015    0.000 /home/wolverine/bin/running/pycaitlyn.py:6780(get_content)
      392    0.004    0.000    0.015    0.000 /home/wolverine/bin/running/calculator3.py:932(__logic_on_market_close)
       50    0.005    0.000    0.015    0.000 /usr/lib/python3.10/typing.py:532(Literal)
     5679    0.015    0.000    0.015    0.000 /usr/lib/python3.10/selectors.py:276(_key_from_fd)
       11    0.000    0.000    0.015    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:560(close)
    15382    0.009    0.000    0.015    0.000 /home/wolverine/bin/running/pycaitlyn.py:6768(get_cmd)
       15    0.000    0.000    0.014    0.001 /usr/lib/python3.10/ssl.py:1364(do_handshake)
       87    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    37105    0.014    0.000    0.014    0.000 /usr/lib/python3.10/asyncio/queues.py:96(empty)
       15    0.014    0.001    0.014    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      208    0.005    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
    18963    0.014    0.000    0.014    0.000 {built-in method builtins.hasattr}
        7    0.000    0.000    0.013    0.002 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1103(close_fd)
        9    0.000    0.000    0.013    0.001 /usr/lib/python3.10/socket.py:498(close)
     1947    0.012    0.000    0.013    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1352(reading)
        5    0.013    0.003    0.013    0.003 /usr/lib/python3.10/ssl.py:1360(_real_close)
     7695    0.013    0.000    0.013    0.000 {built-in method _pycaitlyn.new_NetPackage}
     5705    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
