         2227295 function calls (2225323 primitive calls) in 81.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1341    0.014    0.000    0.051    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:845(_read_to_buffer)
      238    0.002    0.000    0.051    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1415(_handle_read)
  247/172    0.001    0.000    0.050    0.000 /usr/lib/python3.10/typing.py:306(inner)
       18    0.000    0.000    0.045    0.002 /home/wolverine/bin/running/calculator3.py:1308(_decode_to_json)
      258    0.006    0.000    0.044    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:503(write)
       18    0.004    0.000    0.043    0.002 /home/wolverine/bin/running/calculatorp3.py:370(_on_reference)
      207    0.002    0.000    0.040    0.000 /usr/lib/python3.10/json/__init__.py:299(loads)
        6    0.014    0.002    0.039    0.006 /home/wolverine/bin/running/calculatorp3.py:416(_assign_tasks)
      191    0.005    0.000    0.039    0.000 /home/wolverine/bin/running/calculatorp3.py:1244(write_loop)
       18    0.005    0.000    0.038    0.002 /home/wolverine/bin/running/calculator3.py:2349(_on_reference)
       18    0.000    0.000    0.037    0.002 /home/wolverine/bin/running/pycaitlyn.py:11688(decode_to_json)
       18    0.037    0.002    0.037    0.002 {built-in method _pycaitlyn.TCDataCommunication_decode_to_json}
     3452    0.013    0.000    0.037    0.000 /usr/lib/python3.10/asyncio/base_events.py:743(call_soon)
     2538    0.001    0.000    0.035    0.000 /home/wolverine/bin/running/pycaitlyn.py:7052(get_fields)
      264    0.008    0.000    0.035    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:947(_handle_write)
     6288    0.008    0.000    0.035    0.000 {method 'set_result' of '_asyncio.Future' objects}
   186661    0.019    0.000    0.035    0.000 /home/wolverine/bin/running/pycaitlyn.py:6934(get_name)
     2538    0.035    0.000    0.035    0.000 {built-in method _pycaitlyn.IndexMeta_get_fields}
      207    0.001    0.000    0.034    0.000 /usr/lib/python3.10/json/decoder.py:332(decode)
       18    0.000    0.000    0.034    0.002 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:528(on_reference)
       18    0.001    0.000    0.034    0.002 /home/wolverine/bin/running/composite_strategyc3.py:353(on_reference)
      216    0.030    0.000    0.033    0.000 /home/wolverine/bin/running/strategyc3.py:549(on_reference)
      207    0.032    0.000    0.032    0.000 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
      503    0.003    0.000    0.031    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1015(_add_io_state)
     4508    0.004    0.000    0.030    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/concurrent.py:185(future_set_result_unless_cancelled)
       25    0.003    0.000    0.030    0.001 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/simple_httpclient.py:288(run)
   186661    0.019    0.000    0.029    0.000 /home/wolverine/bin/running/pycaitlyn.py:6928(get_pos)
        1    0.000    0.000    0.029    0.029 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__config__.py:1(<module>)
      720    0.004    0.000    0.029    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1529(read_from_fd)
   186661    0.019    0.000    0.028    0.000 /home/wolverine/bin/running/pycaitlyn.py:6940(get_type)
        1    0.000    0.000    0.028    0.028 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/__init__.py:1(<module>)
        4    0.000    0.000    0.027    0.007 /home/wolverine/bin/running/pycaitlyn.py:7112(load)
        4    0.027    0.007    0.027    0.007 {built-in method _pycaitlyn.IndexSchema_load}
        4    0.000    0.000    0.027    0.007 /home/wolverine/bin/running/pycaitlyn.py:7118(metas)
        4    0.027    0.007    0.027    0.007 {built-in method _pycaitlyn.IndexSchema_metas}
       45    0.000    0.000    0.027    0.001 /home/wolverine/bin/running/pycaitlyn.py:11685(reset)
       45    0.027    0.001    0.027    0.001 {built-in method _pycaitlyn.TCDataCommunication_reset}
      876    0.002    0.000    0.026    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1573(on_message)
      877    0.002    0.000    0.025    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1576(_on_message)
      355    0.003    0.000    0.025    0.000 /usr/lib/python3.10/asyncio/selector_events.py:333(remove_reader)
       98    0.006    0.000    0.025    0.000 /home/wolverine/bin/running/calculator3.py:722(push_loop)
       27    0.000    0.000    0.025    0.001 /home/wolverine/bin/running/pycaitlyn.py:11694(worker_svm)
       27    0.025    0.001    0.025    0.001 {built-in method _pycaitlyn.TCDataCommunication_worker_svm}
      355    0.002    0.000    0.024    0.000 /usr/lib/python3.10/asyncio/selector_events.py:328(add_reader)
