         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30228    0.024    0.000    0.051    0.000 /home/wolverine/bin/running/strategyc3.py:420(calc_commodity)
      836    0.003    0.000    0.048    0.000 /home/wolverine/bin/running/strategyc3.py:848(_debug_details)
   160084    0.025    0.000    0.048    0.000 /home/wolverine/bin/running/pycaitlyn.py:6887(get_double)
       27    0.000    0.000    0.043    0.002 /home/wolverine/bin/running/calculator3.py:1320(_decode_market_data)
       18    0.000    0.000    0.043    0.002 /home/wolverine/bin/running/calculator3.py:1308(_decode_to_json)
       27    0.007    0.000    0.043    0.002 /home/wolverine/bin/running/calculator3.py:1277(_decode_to_raw)
       96    0.008    0.000    0.043    0.000 /home/wolverine/bin/running/calculator3.py:722(push_loop)
   500974    0.041    0.000    0.041    0.000 {built-in method _pycaitlyn.StructValue_get_time_tag}
       18    0.000    0.000    0.041    0.002 /home/wolverine/bin/running/pycaitlyn.py:11688(decode_to_json)
       18    0.041    0.002    0.041    0.002 {built-in method _pycaitlyn.TCDataCommunication_decode_to_json}
    31940    0.029    0.000    0.041    0.000 /home/wolverine/bin/running/composite_strategyc3.py:75(<listcomp>)
   373534    0.040    0.000    0.040    0.000 {built-in method _pycaitlyn.StructValue_get_int_64}
    30422    0.024    0.000    0.035    0.000 /home/wolverine/bin/running/calculator3.py:2078(<lambda>)
      159    0.003    0.000    0.034    0.000 /home/wolverine/bin/running/calculatorp3.py:1244(write_loop)
      167    0.001    0.000    0.034    0.000 /usr/lib/python3.10/json/__init__.py:299(loads)
   453856    0.034    0.000    0.034    0.000 {built-in method _pycaitlyn.StructValue_get_meta_id}
   453651    0.031    0.000    0.031    0.000 {built-in method _pycaitlyn.StructValue_get_namespace}
      167    0.001    0.000    0.031    0.000 /usr/lib/python3.10/json/decoder.py:332(decode)
     1313    0.004    0.000    0.031    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:400(read_bytes)
      167    0.030    0.000    0.030    0.000 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
        1    0.000    0.000    0.029    0.029 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
       82    0.001    0.000    0.027    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:503(write)
       60    0.000    0.000    0.027    0.000 /usr/lib/python3.10/typing.py:1040(__or__)
       83    0.001    0.000    0.026    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:947(_handle_write)
       18    0.000    0.000    0.025    0.001 /home/wolverine/bin/running/calculatorp3.py:370(_on_reference)
       18    0.002    0.000    0.025    0.001 /home/wolverine/bin/running/calculator3.py:2349(_on_reference)
       18    0.000    0.000    0.024    0.001 /workspaces/money-engineering/TrinityStrategy/Trinity_Phase-2/WOS_Captain.py:528(on_reference)
       18    0.001    0.000    0.023    0.001 /home/wolverine/bin/running/composite_strategyc3.py:353(on_reference)
       27    0.003    0.000    0.023    0.001 /home/wolverine/bin/running/calculator3.py:2269(__send_batch_raw)
      680    0.016    0.000    0.023    0.000 /usr/lib/python3.10/typing.py:1284(__hash__)
      216    0.020    0.000    0.023    0.000 /home/wolverine/bin/running/strategyc3.py:549(on_reference)
       82    0.000    0.000    0.023    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1119(write_to_fd)
      104    0.001    0.000    0.023    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/platform/asyncio.py:206(_handle_events)
       83    0.023    0.000    0.023    0.000 {method 'send' of '_socket.socket' objects}
   160084    0.023    0.000    0.023    0.000 {built-in method _pycaitlyn.StructValue_get_double}
     3125    0.004    0.000    0.022    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py:377(add_command)
    13274    0.011    0.000    0.022    0.000 /usr/lib/python3.10/re.py:197(search)
      104    0.002    0.000    0.022    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:677(_handle_events)
     3886    0.011    0.000    0.022    0.000 /home/wolverine/bin/running/strategyc3.py:1181(calc_pnl)
     3125    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3176    0.004    0.000    0.021    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
     1313    0.004    0.000    0.020    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:823(_try_inline_read)
   187938    0.020    0.000    0.020    0.000 {built-in method builtins.setattr}
     1390    0.008    0.000    0.020    0.000 /home/wolverine/bin/running/strategyc3.py:492(_on_price)
       91    0.000    0.000    0.020    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
       91    0.001    0.000    0.020    0.000 /usr/lib/python3.10/typing.py:483(Union)
        1    0.000    0.000    0.019    0.019 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_char_codes.py:1(<module>)
     3125    0.010    0.000    0.019    0.000 /usr/lib/python3.10/queue.py:122(put)
